state,dems_lh_90,rep_lh_90,oth_lh_90,vac_lh_90,dems_lh_92,rep_lh_92,oth_lh_92,vac_lh_92,dems_lh_94,rep_lh_94,oth_lh_94,vac_lh_94,dems_lh_96,rep_lh_96,oth_lh_96,vac_lh_96,dems_lh_98,rep_lh_98,oth_lh_98,vac_lh_98,dems_lh_00,rep_lh_00,oth_lh_00,vac_lh_00,dems_lh_01,rep_lh_01,oth_lh_01,vac_lh_01,dems_lh_02,rep_lh_02,oth_lh_02,vac_lh_02,dems_lh_03,rep_lh_03,oth_lh_03,vac_lh_03,dems_lh_05,rep_lh_05,oth_lh_05,vac_lh_05,dems_lh_06,rep_lh_06,oth_lh_06,vac_lh_06,dems_lh_07,rep_lh_07,oth_lh_07,vac_lh_07,dems_lh_08,rep_lh_08,oth_lh_08,vac_lh_08,dems_lh_09,rep_lh_09,oth_lh_09,vac_lh_09,dems_lh_10,rep_lh_10,oth_lh_10,vac_lh_10,dems_lh_11,rep_lh_11,oth_lh_11,vac_lh_11,dems_lh_12,rep_lh_12,oth_lh_12,vac_lh_12,dems_lh_13,rep_lh_13,oth_lh_13,vac_lh_13,dems_lh_14,rep_lh_14,oth_lh_14,vac_lh_14,dems_uh_90,rep_uh_90,oth_uh_90,vac_uh_90,dems_uh_92,rep_uh_92,oth_uh_92,vac_uh_92,dems_uh_94,rep_uh_94,oth_uh_94,vac_uh_94,dems_uh_96,rep_uh_96,oth_uh_96,vac_uh_96,dems_uh_98,rep_uh_98,oth_uh_98,vac_uh_98,dems_uh_00,rep_uh_00,oth_uh_00,vac_uh_00,dems_uh_01,rep_uh_01,oth_uh_01,vac_uh_01,dems_uh_02,rep_uh_02,oth_uh_02,vac_uh_02,dems_uh_03,rep_uh_03,oth_uh_03,vac_uh_03,dems_uh_05,rep_uh_05,oth_uh_05,vac_uh_05,dems_uh_06,rep_uh_06,oth_uh_06,vac_uh_06,dems_uh_07,rep_uh_07,oth_uh_07,vac_uh_07,dems_uh_08,rep_uh_08,oth_uh_08,vac_uh_08,dems_uh_09,rep_uh_09,oth_uh_09,vac_uh_09,dems_uh_10,rep_uh_10,oth_uh_10,vac_uh_10,dems_uh_11,rep_uh_11,oth_uh_11,vac_uh_11,dems_uh_12,rep_uh_12,oth_uh_12,vac_uh_12,dems_uh_13,rep_uh_13,oth_uh_13,vac_uh_13,dems_uh_14,rep_uh_14,oth_uh_14,vac_uh_14
Alabama ,82,23,0,0,82,23,0,0,74,31,0,0,72,33,0,0,71,34,0,0,67,36,0,2,67,38,0,0,64,41,0,0,63,42,0,0,62,40,0,3,63,42,0,0,62,43,0,0,62,43,0,0,62,43,0,0,60,45,0,0,39,65,0,1,40,65,0,0,37,65,1,2,37,64,1,3,28,7,0,1,27,8,0,0,23,12,0,1,22,12,0,0,22,13,0,1,23,12,0,0,24,11,0,0,25,10,0,0,25,10,0,0,25,10,0,0,25,10,0,0,23,12,0,0,23,12,0,0,19,13,0,3,21,14,0,0,12,22,1,0,12,22,1,0,11,22,1,1,11,23,1,0
Alaska ,23,17,0,0,20,18,2,0,17,22,1,0,16,24,1,0,15,25,0,0,13,27,0,0,13,27,0,0,13,27,0,0,13,27,0,0,14,26,0,0,14,26,0,0,17,23,0,0,17,23,0,0,18,22,0,0,18,22,0,0,16,24,0,0,16,24,0,0,14,26,0,0,14,26,0,0,10,10,0,0,10,10,0,0,8,12,0,0,7,13,0,0,6,14,0,0,6,14,0,0,6,14,0,0,8,12,0,0,8,12,0,0,8,12,0,0,8,12,0,0,9,11,0,0,9,11,0,0,10,10,0,0,10,10,0,0,10,10,0,0,10,10,0,0,7,13,0,0,7,13,0,0
Arizona ,27,33,0,0,25,35,0,0,22,38,0,0,22,38,0,0,22,38,0,0,24,36,0,0,24,36,0,0,21,39,0,0,21,39,0,0,22,38,0,0,21,39,0,0,27,33,0,0,27,33,0,0,24,36,0,0,25,35,0,0,20,40,0,0,20,40,0,0,24,36,0,0,23,36,0,1,17,13,0,0,12,18,0,0,11,19,0,0,12,18,0,0,12,18,0,0,15,15,0,0,15,15,0,0,13,17,0,0,13,17,0,0,12,18,0,0,12,18,0,0,13,17,0,0,13,17,0,0,12,18,0,0,12,18,0,0,9,21,0,0,9,21,0,0,13,17,0,0,13,17,0,0
Arkansas ,90,9,0,1,88,11,1,0,88,12,0,0,86,13,0,0,86,14,0,0,70,30,0,0,70,30,0,0,72,28,0,0,70,30,0,0,72,28,0,0,72,28,0,0,75,25,0,0,75,25,0,0,71,28,1,0,71,28,1,0,54,44,0,2,54,46,0,0,49,51,0,0,48,51,1,0,31,4,0,0,30,5,0,0,28,7,0,0,28,6,0,0,28,7,0,0,27,8,0,0,27,8,0,0,27,8,0,0,27,8,0,0,27,8,0,0,27,8,0,0,27,8,0,0,27,8,0,0,27,8,0,0,27,8,0,0,20,15,0,0,20,15,0,0,14,21,0,0,13,22,0,0
California ,47,33,0,0,47,33,0,0,39,40,1,0,43,37,1,0,42,37,0,0,50,29,0,1,50,30,0,0,48,32,0,0,48,32,0,0,48,32,0,0,48,32,0,0,48,32,0,0,47,32,0,1,51,29,0,0,49,29,1,1,52,27,0,1,52,28,0,0,55,25,0,0,55,25,0,0,25,13,1,0,21,16,2,1,21,17,1,0,25,15,2,0,23,16,1,0,26,13,0,1,26,14,0,0,25,15,0,0,25,15,0,0,25,15,0,0,25,15,0,0,25,15,0,0,25,15,0,0,25,14,0,1,25,14,0,1,25,15,0,0,25,15,0,0,26,11,0,3,28,11,0,1
Colorado ,27,38,0,0,31,34,0,0,24,41,0,0,24,41,0,0,24,41,0,0,28,37,0,0,28,37,0,0,28,37,0,0,28,37,0,0,35,30,0,0,35,30,0,0,39,26,0,0,40,25,0,0,38,27,0,0,38,27,0,0,32,33,0,0,32,33,0,0,37,28,0,0,37,28,0,0,12,23,0,0,16,19,0,0,16,19,0,0,15,20,0,0,15,20,0,0,18,17,0,0,18,17,0,0,17,18,0,0,17,18,0,0,18,17,0,0,18,17,0,0,20,15,0,0,20,15,0,0,21,14,0,0,21,14,0,0,20,15,0,0,20,15,0,0,20,15,0,0,18,17,0,0
Connecticut ,87,64,0,0,85,64,0,2,90,61,0,2,97,54,0,2,96,55,0,0,100,51,0,0,100,51,0,0,94,57,0,0,95,56,0,0,99,52,0,0,99,52,0,0,107,44,0,0,107,44,0,0,114,36,0,1,114,37,0,0,98,52,0,1,99,52,0,0,99,52,0,0,98,53,0,0,20,16,0,0,19,17,0,0,17,19,0,0,19,17,0,0,19,17,0,0,21,15,0,0,21,15,0,0,21,15,0,0,21,15,0,0,24,12,0,0,24,12,0,0,24,12,0,0,24,12,0,0,24,12,0,0,24,12,0,0,22,14,0,0,22,14,0,0,22,14,0,0,22,14,0,0
Delaware ,17,24,0,0,18,23,0,0,14,27,0,0,14,27,0,0,13,28,0,0,15,26,0,0,15,26,0,0,12,29,0,0,12,29,0,0,15,25,1,0,15,25,1,0,18,23,0,0,19,22,0,0,24,17,0,0,24,17,0,0,26,15,0,0,26,15,0,0,27,14,0,0,27,14,0,0,15,6,0,0,15,6,0,0,12,9,0,0,13,8,0,0,13,8,0,0,13,8,0,0,13,8,0,0,13,8,0,0,13,8,0,0,13,8,0,0,13,8,0,0,13,8,0,0,13,8,0,0,16,5,0,0,15,6,0,0,14,7,0,0,14,7,0,0,13,8,0,0,13,8,0,0
Florida ,74,46,0,0,71,49,0,0,63,57,0,0,59,61,0,0,57,63,0,0,43,77,0,0,43,77,0,0,39,81,0,0,39,81,0,0,36,84,0,0,36,84,0,0,41,79,0,0,42,78,0,0,44,76,0,0,44,76,0,0,38,81,0,1,39,81,0,0,44,76,0,0,45,74,0,1,22,18,0,0,20,20,0,0,19,21,0,0,17,23,0,0,17,23,0,0,15,25,0,0,15,25,0,0,14,25,0,1,14,26,0,0,14,26,0,0,14,26,0,0,14,26,0,0,14,26,0,0,14,26,0,0,14,26,0,0,12,28,0,0,12,28,0,0,14,26,0,0,14,26,0,0
Georgia ,145,35,0,0,128,51,0,1,114,65,1,1,106,74,1,1,102,78,0,0,104,74,2,0,105,74,0,0,107,72,1,0,107,72,1,0,80,99,1,0,80,99,1,0,74,106,0,0,73,107,0,0,73,107,0,0,74,105,1,0,63,116,1,0,63,115,1,1,60,119,1,0,60,117,1,2,45,11,0,0,41,15,0,0,35,20,0,0,34,22,0,1,34,22,0,0,34,24,0,0,32,24,0,0,26,30,0,0,26,30,0,0,22,34,0,0,22,34,0,0,22,34,0,0,22,34,0,0,22,34,0,0,22,34,0,0,20,36,0,0,20,36,0,0,18,38,0,0,18,38,0,0
Hawaii ,45,6,0,0,47,4,0,0,44,7,0,0,39,12,0,0,39,12,0,0,32,19,0,0,32,19,0,0,36,15,0,0,36,15,0,0,41,10,0,0,41,10,0,0,43,8,0,0,44,7,0,0,45,6,0,0,45,6,0,0,43,8,0,0,42,8,0,1,44,7,0,0,44,7,0,0,22,3,0,0,22,3,0,0,23,2,0,0,23,2,0,0,23,2,0,0,24,3,0,0,22,3,0,0,20,5,0,0,20,5,0,0,20,5,0,0,20,5,0,0,20,5,0,0,21,4,0,0,23,2,0,0,23,2,0,0,24,1,0,0,24,1,0,0,24,1,0,0,24,1,0,0
Idaho ,28,56,0,0,20,50,0,0,13,57,0,0,11,59,0,0,11,59,0,0,9,61,0,0,9,61,0,0,16,54,0,0,16,54,0,0,13,57,0,0,13,57,0,0,19,51,0,0,19,51,0,0,18,52,0,0,18,52,0,0,13,57,0,0,13,57,0,0,13,57,0,0,13,57,0,0,21,21,0,0,12,23,0,0,8,27,0,0,5,30,0,0,5,30,0,0,3,32,0,0,3,31,0,1,7,28,0,0,7,28,0,0,7,28,0,0,7,28,0,0,7,28,0,0,7,28,0,0,7,28,0,0,7,28,0,0,7,28,0,0,7,28,0,0,7,28,0,0,7,28,0,0
Illinois ,72,46,0,0,67,51,0,0,54,64,0,0,60,58,0,0,60,58,0,0,62,56,0,0,62,56,0,0,66,52,0,0,66,52,0,0,65,53,0,0,65,53,0,0,66,52,0,0,67,51,0,0,70,48,0,0,70,48,0,0,64,54,0,0,64,54,0,0,71,47,0,0,71,47,0,0,31,28,0,0,27,32,0,0,26,33,0,0,28,31,0,0,28,31,0,0,27,32,0,0,27,32,0,0,26,32,1,0,26,32,1,0,31,27,1,0,31,27,1,0,37,22,0,0,37,22,0,0,37,22,0,0,37,22,0,0,34,24,0,1,35,24,0,0,40,19,0,0,40,19,0,0
Indiana ,52,48,0,0,55,45,0,0,44,56,0,0,50,50,0,0,50,50,0,0,53,47,0,0,52,46,0,0,51,49,0,0,51,49,0,0,48,52,0,0,48,52,0,0,51,49,0,0,51,49,0,0,52,48,0,0,52,48,0,0,40,60,0,0,40,60,0,0,31,69,0,0,31,69,0,0,24,26,0,0,22,28,0,0,20,30,0,0,19,31,0,0,19,31,0,0,18,32,0,0,18,32,0,0,18,32,0,0,18,32,0,0,17,33,0,0,17,33,0,0,17,33,0,0,17,33,0,0,17,33,0,0,17,33,0,0,13,37,0,0,13,37,0,0,13,37,0,0,13,37,0,0
Iowa ,55,45,0,0,49,51,0,0,36,64,0,0,46,54,0,0,46,54,0,0,44,56,0,0,44,56,0,0,45,54,0,1,47,53,0,0,49,51,0,0,49,51,0,0,54,46,0,0,53,47,0,0,56,44,0,0,56,44,0,0,40,60,0,0,40,60,0,0,47,53,0,0,47,53,0,0,29,21,0,0,27,23,0,0,27,23,0,0,21,29,0,0,22,28,0,0,20,30,0,0,20,30,0,0,21,29,0,0,21,29,0,0,25,25,0,0,25,25,0,0,30,20,0,0,30,20,0,0,32,18,0,0,32,18,0,0,26,24,0,0,26,24,0,0,26,24,0,0,26,24,0,0
Kansas ,63,62,0,0,59,66,0,0,45,80,0,0,48,77,0,0,48,77,0,0,46,79,0,0,46,79,0,0,45,80,0,0,45,80,0,0,42,83,0,0,42,83,0,0,47,78,0,0,47,78,0,0,49,76,0,0,49,76,0,0,33,92,0,0,33,92,0,0,33,92,0,0,33,92,0,0,18,22,0,0,13,27,0,0,13,27,0,0,13,27,0,0,13,27,0,0,10,30,0,0,10,30,0,0,10,30,0,0,10,30,0,0,10,30,0,0,10,30,0,0,10,30,0,0,10,30,0,0,9,31,0,0,9,31,0,0,8,32,0,0,8,32,0,0,8,32,0,0,8,32,0,0
Kentucky ,68,32,0,0,71,29,0,0,64,36,0,0,64,36,0,0,64,36,0,0,66,34,0,0,66,34,0,0,65,35,0,0,63,36,0,1,57,43,0,0,57,43,0,0,61,39,0,0,64,36,0,0,65,35,0,0,65,35,0,0,58,42,0,0,59,40,0,1,55,45,0,0,54,46,0,0,27,11,0,0,25,13,0,0,21,17,0,0,20,18,0,0,20,18,0,0,18,20,0,0,18,20,0,0,16,22,0,0,16,22,0,0,15,22,1,0,15,22,1,0,16,21,1,0,15,22,1,0,15,21,1,1,17,20,1,0,15,22,1,0,15,22,1,0,14,23,1,0,14,23,1,0
Louisiana ,89,16,1,0,88,16,1,0,86,17,1,1,76,28,1,1,78,27,0,0,71,32,0,0,70,34,0,0,70,34,1,0,68,37,0,0,67,37,1,0,67,37,1,0,59,43,1,2,60,43,1,1,51,50,3,1,52,50,3,0,47,52,4,2,45,58,2,0,45,58,2,0,44,59,2,0,34,5,0,0,33,6,0,0,33,6,0,0,25,14,0,0,25,14,0,0,26,13,0,0,25,14,0,0,23,15,0,1,24,15,0,0,24,15,0,0,24,15,0,0,24,15,0,0,25,14,0,0,22,15,0,2,24,15,0,0,19,20,0,0,15,24,0,0,15,24,0,0,13,26,0,0
Maine ,97,54,0,0,93,58,0,0,77,74,0,0,81,69,0,0,81,69,0,0,81,69,3,0,81,69,3,0,80,67,4,0,80,67,4,0,76,73,2,0,76,73,2,0,89,60,2,0,90,59,2,0,95,55,1,0,96,54,1,0,72,78,1,0,72,77,1,1,58,89,4,0,89,58,4,0,21,14,0,0,20,15,0,0,16,18,0,0,19,15,1,0,19,15,0,0,17,17,1,0,17,16,0,1,18,17,0,0,18,17,0,0,19,16,0,0,19,16,0,0,18,17,0,0,18,17,0,0,20,15,0,0,20,15,0,0,14,20,1,0,14,20,1,0,19,15,1,0,19,15,1,0
Maryland ,116,25,0,0,116,25,0,0,100,41,0,0,100,41,0,0,99,41,0,0,106,35,0,0,106,35,0,0,98,43,0,0,98,43,0,0,98,43,0,0,98,43,0,0,104,37,0,0,104,37,0,0,104,36,1,0,104,36,1,0,98,43,0,0,98,43,0,0,98,43,0,0,98,43,0,0,38,9,0,0,38,9,0,0,32,15,0,0,32,15,0,0,32,15,0,0,33,14,0,0,33,14,0,0,33,14,0,0,33,14,0,0,33,14,0,0,33,14,0,0,33,14,0,0,33,14,0,0,33,14,0,0,33,14,0,0,35,12,0,0,35,12,0,0,35,12,0,0,35,12,0,0
Massachusetts ,118,37,1,4,123,34,1,2,125,34,1,2,134,25,1,2,130,29,0,0,136,24,0,0,136,22,0,0,135,23,1,1,136,23,1,0,136,21,0,3,137,20,0,3,141,19,0,0,140,19,0,1,142,16,1,1,143,16,1,0,128,31,0,1,125,33,0,2,129,29,0,2,125,29,0,4,25,15,0,0,31,9,0,0,30,10,0,0,34,6,0,0,31,8,0,0,34,6,0,0,32,6,0,2,34,6,0,0,34,6,0,0,34,6,0,0,34,6,0,0,35,5,0,0,35,5,0,0,35,5,0,0,35,5,0,0,36,4,0,0,36,4,0,0,36,4,0,0,35,4,0,1
Michigan ,61,49,0,0,55,55,0,0,53,56,0,1,58,52,0,1,58,51,0,0,53,56,0,1,52,57,0,0,62,47,0,1,63,47,0,0,52,58,0,0,50,58,0,2,58,52,0,0,58,52,0,0,67,43,0,0,66,43,0,1,47,63,0,0,46,62,0,2,51,59,0,0,51,59,0,0,18,20,0,0,16,22,0,0,16,22,0,0,16,22,0,0,16,22,0,0,14,22,0,2,15,23,0,0,16,22,0,0,16,22,0,0,16,22,0,0,16,22,0,0,17,21,0,0,17,21,0,0,16,21,0,1,16,22,0,0,12,26,0,0,12,26,0,0,11,26,0,1,12,26,0,0
Minnesota ,78,56,0,0,85,49,0,0,71,63,0,0,70,64,0,0,70,64,0,0,65,69,0,0,64,70,0,0,53,80,0,1,53,81,0,0,66,68,0,0,66,68,0,0,85,49,0,0,85,48,1,0,87,47,0,0,87,47,0,0,62,72,0,0,62,72,0,0,73,61,0,0,73,61,0,0,46,21,0,0,45,22,0,0,43,21,0,0,42,24,0,3,42,24,0,0,39,26,1,0,37,27,2,2,35,31,1,0,35,31,1,0,35,31,1,0,35,31,1,0,44,23,0,0,45,22,0,0,46,21,0,0,46,21,0,0,30,37,0,0,30,37,0,0,39,28,0,0,39,28,0,0
