state,dems_lh_90,rep_lh_90,oth_lh_90,vac_lh_90,dems_lh_92,rep_lh_92,oth_lh_92,vac_lh_92,dems_lh_94,rep_lh_94,oth_lh_94,vac_lh_94,dems_lh_96,rep_lh_96,oth_lh_96,vac_lh_96,dems_lh_98,rep_lh_98,oth_lh_98,vac_lh_98,dems_lh_00,rep_lh_00,oth_lh_00,vac_lh_00,dems_lh_01,rep_lh_01,oth_lh_01,vac_lh_01,dems_lh_02,rep_lh_02,oth_lh_02,vac_lh_02,dems_lh_03,rep_lh_03,oth_lh_03,vac_lh_03,dems_lh_05,rep_lh_05,oth_lh_05,vac_lh_05,dems_lh_06,rep_lh_06,oth_lh_06,vac_lh_06,dems_lh_07,rep_lh_07,oth_lh_07,vac_lh_07,dems_lh_08,rep_lh_08,oth_lh_08,vac_lh_08,dems_lh_09,rep_lh_09,oth_lh_09,vac_lh_09,dems_lh_10,rep_lh_10,oth_lh_10,vac_lh_10,dems_lh_11,rep_lh_11,oth_lh_11,vac_lh_11,dems_lh_12,rep_lh_12,oth_lh_12,vac_lh_12,dems_lh_13,rep_lh_13,oth_lh_13,vac_lh_13,dems_lh_14,rep_lh_14,oth_lh_14,vac_lh_14,dems_uh_90,rep_uh_90,oth_uh_90,vac_uh_90,dems_uh_92,rep_uh_92,oth_uh_92,vac_uh_92,dems_uh_94,rep_uh_94,oth_uh_94,vac_uh_94,dems_uh_96,rep_uh_96,oth_uh_96,vac_uh_96,dems_uh_98,rep_uh_98,oth_uh_98,vac_uh_98,dems_uh_00,rep_uh_00,oth_uh_00,vac_uh_00,dems_uh_01,rep_uh_01,oth_uh_01,vac_uh_01,dems_uh_02,rep_uh_02,oth_uh_02,vac_uh_02,dems_uh_03,rep_uh_03,oth_uh_03,vac_uh_03,dems_uh_05,rep_uh_05,oth_uh_05,vac_uh_05,dems_uh_06,rep_uh_06,oth_uh_06,vac_uh_06,dems_uh_07,rep_uh_07,oth_uh_07,vac_uh_07,dems_uh_08,rep_uh_08,oth_uh_08,vac_uh_08,dems_uh_09,rep_uh_09,oth_uh_09,vac_uh_09,dems_uh_10,rep_uh_10,oth_uh_10,vac_uh_10,dems_uh_11,rep_uh_11,oth_uh_11,vac_uh_11,dems_uh_12,rep_uh_12,oth_uh_12,vac_uh_12,dems_uh_13,rep_uh_13,oth_uh_13,vac_uh_13,dems_uh_14,rep_uh_14,oth_uh_14,vac_uh_14
Mississippi ,98,23,1,0,91,29,2,0,89,31,2,0,86,33,2,0,84,36,0,0,86,33,3,0,86,33,3,0,81,38,3,0,80,42,0,0,75,47,0,0,74,47,0,1,74,47,0,1,75,47,0,0,74,48,0,0,74,48,0,0,69,53,0,0,58,64,0,0,56,65,0,1,57,65,0,0,43,9,0,0,37,15,0,0,36,14,0,0,34,18,0,2,34,18,0,0,34,18,0,0,34,18,0,0,31,21,0,0,30,22,0,0,28,24,0,0,28,24,0,0,25,27,0,0,27,25,0,0,27,25,0,0,27,25,0,0,25,27,0,0,21,31,0,0,20,31,0,1,20,32,0,0
Missouri ,99,64,0,0,98,65,0,0,87,76,0,0,88,75,0,0,85,76,0,0,87,76,0,0,87,76,0,0,73,90,0,0,73,90,0,0,66,97,0,0,64,96,0,3,71,92,0,0,71,92,0,0,74,89,0,0,74,88,0,1,57,106,0,0,56,106,0,1,52,109,0,2,52,108,0,3,23,11,0,0,20,14,0,0,19,15,0,0,19,15,0,0,19,15,0,0,15,16,0,3,14,18,0,2,14,20,0,0,14,20,0,0,10,22,0,2,11,22,0,1,13,21,0,0,14,20,0,0,11,23,0,0,11,23,0,0,7,26,0,1,8,26,0,0,10,24,0,0,9,24,0,1
Montana ,61,39,0,0,47,53,0,0,33,67,0,0,35,65,0,0,35,65,0,0,42,58,0,0,42,58,0,0,47,53,0,0,47,53,0,0,49,50,1,0,50,50,0,0,49,50,1,0,49,50,1,0,50,50,0,0,50,50,0,0,32,68,0,0,32,68,0,0,39,61,0,0,39,61,0,0,29,21,0,0,30,20,0,0,19,31,0,0,16,34,0,0,16,33,0,0,19,31,0,0,19,31,0,0,21,29,0,0,21,29,0,0,27,23,0,0,27,23,0,0,26,24,0,0,26,24,0,0,23,27,0,0,23,27,0,0,22,28,0,0,22,28,0,0,21,29,0,0,21,29,0,0
Nebraska ,(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),49,0,(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6),(\6)
Nevada ,22,19,0,1,27,12,0,3,21,21,0,3,25,17,0,3,25,17,0,0,27,15,0,0,27,15,0,0,23,19,0,0,23,19,0,0,26,16,0,0,26,15,0,1,27,15,0,0,27,15,0,0,28,14,0,0,28,14,0,0,26,16,0,0,26,16,0,0,27,15,0,0,27,15,0,0,10,10,0,0,10,11,0,0,8,13,0,0,9,12,0,0,9,12,0,0,9,12,0,0,9,12,0,0,8,13,0,0,8,13,0,0,9,12,0,0,9,12,0,0,10,11,0,0,10,11,0,0,12,9,0,0,12,9,0,0,11,10,0,0,11,10,0,0,11,10,0,0,11,10,0,0
New Hampshire ,125,268,2,5,136,258,5,1,112,286,2,1,143,255,2,1,147,248,0,0,143,255,1,1,142,255,1,0,117,282,0,1,119,281,0,0,147,250,0,3,149,247,0,4,239,161,0,0,237,158,1,4,224,175,0,1,225,175,0,0,102,296,1,1,104,292,0,4,217,178,0,5,216,178,1,5,11,13,0,0,11,13,0,0,6,18,0,0,9,15,0,0,9,15,0,0,11,13,0,0,11,13,0,0,6,18,0,0,6,18,0,0,8,16,0,0,8,16,0,0,14,10,0,0,14,10,0,0,14,10,0,0,14,10,0,0,5,19,0,0,5,19,0,0,11,13,0,0,11,13,0,0
New Jersey ,22,58,0,0,27,53,0,0,28,52,0,0,30,50,0,0,32,48,0,0,32,48,0,0,44,36,0,0,43,35,1,1,47,33,0,0,47,33,0,0,49,31,0,0,49,31,0,0,48,32,0,0,48,32,0,0,47,33,0,0,47,33,0,0,47,32,0,1,48,31,0,1,48,32,0,0,13,27,0,1,16,24,0,0,16,24,0,1,16,24,0,0,16,24,0,1,16,24,0,0,20,20,0,0,20,20,0,0,22,18,0,0,22,18,0,0,22,18,0,0,22,18,0,0,23,17,0,0,23,16,0,1,23,17,0,0,24,16,0,0,24,16,0,0,24,16,0,0,24,16,0,0
New Mexico ,49,21,0,0,53,17,0,0,46,24,0,0,42,28,0,0,42,28,0,0,42,28,0,0,42,28,0,0,42,28,0,0,43,27,0,0,42,28,0,0,42,28,0,0,42,28,0,0,42,28,0,0,45,25,0,0,45,25,0,0,37,33,0,0,36,33,1,0,38,32,0,0,37,33,0,0,26,16,0,0,27,15,0,0,27,15,0,0,25,17,0,0,25,17,0,0,24,18,0,0,24,18,0,0,24,18,0,0,24,18,0,0,24,18,0,0,24,18,0,0,24,18,0,0,24,18,0,0,27,15,0,0,27,15,0,0,27,15,0,0,28,14,0,0,25,17,0,0,25,17,0,0
New York ,95,55,0,0,100,50,0,0,94,56,0,0,96,54,0,0,95,52,0,0,99,51,0,0,99,51,0,0,103,47,0,0,103,47,0,0,104,46,0,0,104,46,0,0,105,45,0,0,108,42,0,0,108,41,1,0,105,43,2,0,98,51,1,0,96,49,1,4,106,42,1,1,100,40,1,9,26,35,0,0,26,35,0,0,25,36,0,0,26,35,0,0,26,35,0,0,25,36,0,0,25,36,0,0,25,37,0,0,25,37,0,0,28,34,0,0,27,35,0,0,29,33,0,0,29,33,0,0,32,30,0,0,32,30,0,0,30,32,0,0,29,32,0,1,33,30,0,0,32,29,0,2
North Carolina ,81,39,0,0,78,42,0,0,52,68,0,0,59,61,0,0,59,61,0,0,62,58,0,0,62,58,0,0,60,60,0,0,59,61,0,0,63,57,0,0,63,57,0,0,68,52,0,0,68,52,0,0,68,52,0,0,68,52,0,0,51,67,1,1,52,68,0,0,43,77,0,0,43,77,0,0,36,14,0,0,39,11,0,0,26,24,0,0,30,20,0,0,30,20,0,0,35,15,0,0,35,15,0,0,28,22,0,0,28,22,0,0,29,21,0,0,29,21,0,0,31,19,0,0,31,19,0,0,30,20,0,0,30,20,0,0,19,31,0,0,19,31,0,0,17,33,0,0,17,33,0,0
North Dakota ,48,58,0,0,33,65,0,0,23,75,0,0,26,72,0,0,26,71,0,0,29,69,0,0,29,69,0,0,28,66,0,0,28,66,0,0,27,67,0,0,27,67,0,0,33,61,0,0,33,61,0,0,36,58,0,0,36,58,0,0,25,69,0,0,25,69,0,0,23,71,0,0,23,71,0,0,27,26,0,0,25,24,0,0,20,29,0,0,19,30,0,0,18,29,0,0,17,32,0,0,17,32,0,0,16,31,0,0,16,31,0,0,15,32,0,0,15,32,0,0,21,26,0,0,21,26,0,0,21,26,0,0,21,26,0,0,12,35,0,0,12,35,0,0,14,33,0,0,14,33,0,0
Ohio ,61,38,0,0,53,46,0,0,43,56,0,0,39,60,0,0,39,60,0,0,40,59,0,0,39,59,0,0,38,61,0,0,37,62,0,0,40,59,0,0,38,61,0,0,46,53,0,0,46,53,0,0,53,46,0,0,53,46,0,0,40,59,0,0,40,59,0,0,39,60,0,0,39,60,0,0,12,21,0,0,13,20,0,0,13,20,0,0,12,21,0,0,12,20,0,0,12,20,0,1,11,21,0,1,11,22,0,0,11,22,0,0,11,22,0,0,11,22,0,0,12,21,0,0,12,21,0,0,12,21,0,0,12,21,0,0,10,23,0,0,10,23,0,0,10,23,0,0,10,23,0,0
Oklahoma ,68,33,0,0,70,31,0,0,65,36,0,0,65,36,0,0,65,36,0,0,53,48,0,0,52,48,0,0,53,48,0,0,53,48,0,0,44,57,0,0,44,57,0,0,44,57,0,0,44,57,0,0,40,61,0,0,40,61,0,0,31,70,0,0,33,68,0,0,29,72,0,0,29,72,0,0,37,11,0,0,37,11,0,0,35,13,0,0,33,15,0,0,33,15,0,0,30,18,0,0,30,18,0,0,27,20,0,1,28,20,0,0,26,22,0,0,26,22,0,0,24,24,0,0,24,24,0,0,22,26,0,0,22,26,0,0,16,32,0,0,15,31,0,2,12,36,0,0,12,36,0,0
Oregon ,28,32,0,0,28,32,0,0,26,34,0,0,29,31,0,0,29,31,0,0,27,33,0,0,28,32,0,0,25,35,0,0,25,35,0,0,27,33,0,0,27,33,0,0,31,29,0,0,31,29,0,0,36,24,0,0,36,24,0,0,30,30,0,0,30,30,0,0,34,26,0,0,34,26,0,0,20,10,0,0,16,14,0,0,11,19,0,0,10,20,0,0,10,20,0,0,14,16,0,0,14,16,0,0,15,15,0,0,14,15,0,1,18,12,0,0,18,12,0,0,17,11,2,0,18,10,1,1,18,12,0,0,18,12,0,0,16,14,0,0,16,14,0,0,16,14,0,0,16,14,0,0
Pennsylvania ,107,94,0,2,105,98,0,0,101,102,0,0,99,104,0,0,99,104,0,0,99,104,0,0,98,104,0,0,94,108,0,1,94,108,0,1,93,110,0,0,93,110,0,0,102,101,0,0,102,101,0,0,104,99,0,0,103,97,0,3,91,112,0,0,87,110,0,6,90,111,0,2,92,110,0,1,24,26,0,0,24,25,0,1,21,29,0,0,20,30,0,0,20,30,0,0,20,28,0,2,21,29,0,0,21,28,0,1,21,29,0,0,18,29,0,3,20,30,0,0,21,29,0,0,21,29,0,0,21,29,0,0,20,30,0,0,19,30,0,1,20,30,0,0,23,27,0,0,23,26,0,1
Rhode Island ,89,11,0,0,85,15,0,0,84,16,0,0,84,16,0,0,84,16,0,0,85,15,0,0,87,13,0,0,63,11,1,0,63,11,1,0,60,15,0,0,60,15,0,0,62,13,0,0,61,13,1,0,69,6,0,0,69,6,0,0,65,10,0,0,65,10,0,0,69,6,0,0,69,6,0,0,45,5,0,0,39,11,0,0,40,10,0,0,41,9,0,0,42,8,0,0,44,6,0,0,43,7,0,0,32,6,0,0,32,6,0,0,33,5,0,0,33,5,0,0,33,5,0,0,33,5,0,0,33,4,1,0,33,4,1,0,29,8,1,0,29,8,1,0,32,5,1,0,32,5,1,0
South Carolina ,79,43,1,1,71,52,1,0,58,62,4,0,53,70,4,0,52,71,0,0,54,69,0,1,53,71,0,0,50,73,0,1,51,73,0,0,50,74,0,0,49,74,0,1,51,73,0,0,51,73,0,0,52,71,0,1,51,73,0,0,48,76,0,0,48,76,0,0,46,77,0,1,46,78,0,0,33,13,0,0,30,16,0,0,29,17,0,0,26,20,0,0,25,21,0,0,22,24,0,0,21,25,0,0,21,24,0,1,20,25,0,1,20,26,0,0,20,26,0,0,20,26,0,0,19,27,0,0,19,27,0,0,19,27,0,0,19,26,0,1,19,27,0,0,18,28,0,0,18,28,0,0
South Dakota ,25,45,0,0,28,42,0,0,24,46,0,0,23,47,0,0,22,48,0,0,20,50,0,0,20,50,0,0,21,49,0,0,21,49,0,0,19,51,0,0,19,51,0,0,20,50,0,0,20,50,0,0,24,46,0,0,24,46,0,0,19,50,1,0,19,50,1,0,17,53,0,0,17,53,0,0,17,18,0,0,20,15,0,0,16,19,0,0,13,22,0,0,13,22,0,0,11,24,0,0,11,24,0,0,9,26,0,0,9,26,0,0,10,25,0,0,10,25,0,0,15,20,0,0,15,20,0,0,14,21,0,0,14,21,0,0,5,30,0,0,5,30,0,0,7,28,0,0,7,28,0,0
Tennessee ,57,42,0,0,63,36,0,0,59,40,0,0,61,38,0,0,61,38,0,0,61,38,0,0,57,41,0,0,54,45,0,0,54,45,0,0,53,46,0,0,53,46,0,0,53,46,0,0,53,46,0,0,49,50,0,0,48,51,0,0,34,64,1,0,34,64,1,0,28,70,1,0,27,71,1,0,20,13,0,0,19,14,0,0,18,15,0,0,18,15,0,0,18,15,0,0,18,15,0,0,18,15,0,0,18,15,0,0,18,15,0,0,16,17,0,0,15,17,0,1,16,17,0,0,16,16,1,0,14,19,0,0,14,19,0,0,13,20,0,0,13,20,0,0,7,26,0,0,7,26,0,0
Texas ,93,57,0,0,91,58,0,1,89,61,0,1,82,68,0,1,82,68,0,0,77,72,0,0,78,71,0,0,62,88,0,0,62,88,0,0,63,87,0,0,62,87,0,1,69,81,0,0,71,79,0,0,74,76,0,0,73,77,0,0,49,101,0,0,49,101,0,0,56,94,0,0,55,95,0,0,22,9,0,0,18,13,0,0,17,14,0,0,14,16,0,0,14,17,0,0,15,16,0,0,15,15,0,1,12,19,0,0,12,19,0,0,12,19,0,0,12,19,0,0,11,20,0,0,11,20,0,0,12,19,0,0,12,19,0,0,12,19,0,0,12,19,0,0,12,19,0,0,12,18,0,1
Utah ,31,44,0,0,26,49,0,0,20,55,0,0,20,55,0,0,21,54,0,0,25,50,0,0,24,51,0,0,19,56,0,0,19,56,0,0,19,56,0,0,19,56,0,0,20,55,0,0,20,55,0,0,22,53,0,0,22,53,0,0,17,58,0,0,17,58,0,0,14,61,0,0,14,61,0,0,10,19,0,0,11,18,0,0,10,19,0,0,9,20,0,0,9,20,0,0,9,20,0,0,9,20,0,0,7,22,0,0,7,22,0,0,8,21,0,0,8,21,0,0,8,21,0,0,8,21,0,0,8,21,0,0,8,21,0,0,7,22,0,0,7,22,0,0,5,24,0,0,5,24,0,0
Vermont ,73,75,2,0,87,57,6,0,86,61,3,0,89,57,3,0,89,57,0,0,62,83,5,0,62,82,5,0,69,74,7,0,69,74,7,0,83,60,7,0,83,60,7,0,93,49,8,0,93,49,8,0,95,48,7,0,95,48,7,0,94,48,8,0,94,48,8,0,96,45,9,0,96,45,9,0,15,15,0,0,14,16,0,0,12,18,0,0,17,13,0,0,17,13,0,0,16,14,0,0,16,13,0,1,19,11,0,0,19,11,0,0,21,9,0,0,21,9,0,0,23,7,0,0,23,7,0,0,23,7,0,0,23,7,0,0,21,8,1,0,21,8,1,0,21,7,2,0,20,7,2,1
Virginia ,58,41,1,0,52,47,1,0,52,47,1,0,53,46,1,0,51,48,0,0,47,52,1,0,34,64,2,0,34,64,2,0,37,61,2,0,38,60,2,0,39,56,3,2,40,57,3,0,44,54,2,0,45,53,2,0,39,59,2,0,39,58,2,1,32,67,1,0,32,67,1,0,33,67,0,0,22,18,0,0,22,18,0,0,22,18,0,0,20,20,0,0,19,21,0,0,18,22,0,0,18,22,0,0,17,23,0,0,16,24,0,0,16,24,0,0,16,23,0,1,17,23,0,0,21,19,0,0,21,19,0,0,22,18,0,0,22,18,0,0,20,20,0,0,20,20,0,0,20,20,0,0
Washington ,58,40,0,0,65,33,0,0,38,60,0,0,45,53,0,0,41,57,0,0,49,49,0,0,50,48,0,0,52,46,0,0,52,46,0,0,55,43,0,0,55,43,0,0,62,36,0,0,63,35,0,0,61,36,0,1,61,37,0,0,56,42,0,0,56,42,0,0,55,43,0,0,55,43,0,0,24,25,0,0,28,21,0,0,25,24,0,0,23,26,0,0,23,26,0,0,25,24,0,0,25,24,0,0,24,25,0,0,24,25,0,0,26,23,0,0,26,23,0,0,32,17,0,0,32,17,0,0,31,18,0,0,31,18,0,0,27,22,0,0,27,22,0,0,26,23,0,0,25,24,0,0
West Virginia ,74,26,0,0,79,21,0,0,69,30,0,1,74,25,0,1,74,26,0,0,75,25,0,0,75,25,0,0,68,32,0,0,68,32,0,0,68,32,0,0,68,32,0,0,72,28,0,0,72,28,0,0,71,29,0,0,71,29,0,0,65,35,0,0,65,35,0,0,53,47,0,0,53,47,0,0,33,1,0,0,32,2,0,0,26,8,0,0,25,9,0,0,25,9,0,0,28,6,0,0,28,6,0,0,24,10,0,0,24,10,0,0,21,13,0,0,21,13,0,0,23,11,0,0,23,11,0,0,26,8,0,0,26,8,0,0,28,6,0,0,28,6,0,0,25,9,0,0,24,10,0,0
Wisconsin ,58,41,0,0,51,47,0,1,48,51,0,1,47,52,0,1,46,51,0,0,43,56,0,0,43,56,0,0,40,58,0,1,40,59,0,0,39,60,0,0,39,59,0,1,47,52,0,0,47,52,0,0,52,46,1,0,52,46,1,0,38,60,1,0,39,59,1,0,39,59,1,0,39,60,0,0,19,14,0,0,16,17,0,0,16,17,0,0,17,16,0,0,17,16,0,0,18,15,0,0,18,15,0,0,13,18,0,2,15,18,0,0,14,19,0,0,14,19,0,0,18,15,0,0,18,15,0,0,18,15,0,0,18,15,0,0,14,19,0,0,16,17,0,0,15,18,0,0,15,18,0,0
Wyoming ,22,42,0,0,19,41,0,0,13,47,0,0,17,43,0,0,17,43,0,0,14,46,0,0,14,46,0,0,15,45,0,0,15,45,0,0,14,46,0,0,14,46,0,0,17,43,0,0,17,43,0,0,19,41,0,0,19,41,0,0,10,50,0,0,10,50,0,0,8,52,0,0,8,52,0,0,10,20,0,0,10,20,0,0,10,20,0,0,9,21,0,0,9,21,0,0,10,20,0,0,10,20,0,0,10,20,0,0,10,20,0,0,7,23,0,0,7,23,0,0,7,23,0,0,7,23,0,0,7,23,0,0,7,23,0,0,4,26,0,0,4,26,0,0,4,26,0,0,4,26,0,0
